'"Champion","Role","Ban","Play"'+
'"Riven","1","0.0017","0.0188"'+
'"Rumble","5","0.0008","0.0041"'+
'"Rumble","1","0.0008","0.0051"'+
'"Rumble","3","0.0008","0.0097"'+
'"Ryze","1","0.0011","0.0075"'+
'"Ryze","3","0.0011","0.014"'+
'"Sejuani","2","0.0011","0.032"'+
'"Senna","4","0.04","0.0194"'+
'"Senna","5","0.04","0.1068"'+
'"Sett","5","0.0428","0.0122"'+
'"Sett","2","0.0428","0.0217"'+
'"Sett","1","0.0428","0.0477"'+
'"Shaco","5","0.0118","0.0086"'+
'"Shaco","2","0.0118","0.0395"'+
'"Shen","5","0.0009","0.0086"'+
'"Shen","1","0.0009","0.0292"'+
'"Shyvana","2","0.0012","0.0261"'+
'"Singed","1","0.0005","0.0101"'+
'"Sion","5","0.0001","0.0025"'+
'"Sion","1","0.0001","0.0101"'+
'"Sivir","4","0.0002","0.0178"'+
'"Skarner","2","0.0001","0.0046"'+
'"Sona","5","0.0002","0.0192"'+
'"Soraka","5","0.0027","0.0294"'+
'"Swain","5","0.0011","0.019"'+
'"Sylas","5","0.0111","0.0121"'+
'"Sylas","2","0.0111","0.0136"'+
'"Sylas","1","0.0111","0.0147"'+
'"Sylas","3","0.0111","0.0361"'+
'"Syndra","3","0.0027","0.0276"'+
'"Tahm Kench","4","0.0009","0.0066"'+
'"Tahm Kench","5","0.0009","0.0086"'+
'"Taliyah","3","0.0002","0.0031"'+
'"Taliyah","2","0.0002","0.0078"'+
'"Talon","5","0.0056","0.0042"'+
'"Talon","3","0.0056","0.0224"'+
'"Taric","5","0.0026","0.0216"'+
'"Teemo","5","0.0032","0.0039"'+
'"Teemo","1","0.0032","0.0168"'+
'"Thresh","5","0.0105","0.1203"'+
'"Tristana","4","0.0005","0.0259"'+
'"Trundle","1","0.0008","0.0048"'+
'"Trundle","2","0.0008","0.0229"'+
'"Tryndamere","2","0.0056","0.0052"'+
'"Tryndamere","1","0.0056","0.0189"'+
'"Twisted Fate","5","0.0003","0.0031"'+
'"Twisted Fate","3","0.0003","0.0166"'+
'"Twitch","2","0.0004","0.0062"'+
'"Twitch","4","0.0004","0.012"'+
'"Udyr","2","0.0004","0.0105"'+
'"Urgot","1","0.0006","0.0088"'+
'"Varus","5","0.0002","0.0039"'+
'"Varus","4","0.0002","0.0257"'+
'"Vayne","4","0.01","0.0662"'+
'"Veigar","4","0.0016","0.0048"'+
'"Veigar","5","0.0016","0.0066"'+
'"Veigar","3","0.0016","0.0171"'+
'"Vel'Koz","3","0.0009","0.0133"'+
'"Vel'Koz","5","0.0009","0.0167"'+
'"Vi","2","0.0005","0.024"'+
'"Viktor","3","0.0004","0.0158"'+
'"Vladimir","1","0.0198","0.0201"'+
'"Vladimir","3","0.0198","0.0266"'+
'"Volibear","5","0.0006","0.0042"'+
'"Volibear","1","0.0006","0.007"'+
'"Volibear","2","0.0006","0.0113"'+
'"Warwick","2","0.0018","0.0338"'+
'"Wukong","3","0.0003","0.0031"'+
'"Wukong","2","0.0003","0.0037"'+
'"Xayah","4","0.0006","0.0261"'+
'"Xerath","3","0.0007","0.0123"'+
'"Xerath","5","0.0007","0.0125"'+
'"Xin Zhao","2","0.0003","0.0161"'+
'"Yasuo","1","0.0464","0.012"'+
'"Yasuo","4","0.0464","0.0148"'+
'"Yasuo","3","0.0464","0.0507"'+
'"Yorick","1","0.0008","0.0095"'+
'"Yuumi","5","0.017","0.0784"'+
'"Zac","2","0.0156","0.0667"'+
'"Zed","3","0.0258","0.0399"'+
'"Ziggs","5","0.0002","0.0027"'+
'"Ziggs","4","0.0002","0.0035"'+
'"Ziggs","3","0.0002","0.0107"'+
'"Zilean","3","0.0009","0.004"'+
'"Zilean","5","0.0009","0.0194"'+
'"Zoe","5","0.0053","0.0056"'+
'"Zoe","3","0.0053","0.0253"'+
'"Zyra","5","0.0013","0.0199"'+
