,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,redTopIndex,redTopName,redTopPlay,redJungleIndex,redJungleName,redJunglePlay,redMidIndex,redMidName,redMidPlay,redBotIndex,redBotName,redBotPlay,redSupportIndex,redSupportName,redSupportPlay,realistic_blue,realistic_red,blue_excel_early,blue_excel_mid,blue_excel_late,red_excel_early,red_excel_mid,red_excel_late,language,age,gender,education,comments,Browser,OS,screenH,screenW,time_in_minutes,participant_id
0,39,Illaoi,0.002288340743658534,62,Lee Sin,0.06931485725380143,24,Ekko,0.005335900712596242,27,Ezreal,0.05810049251758237,142,Yuumi,0.028316690091815016,44,Jax,0.007655454913949518,72,Master Yi,0.016671090149709814,144,Zed,0.010999224187051846,15,Caitlyn,0.03607300128808285,76,Nami,0.02187492808975514,1,3,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
1,39,Illaoi,0.002288340743658534,62,Lee Sin,0.06931485725380143,24,Ekko,0.005335900712596242,27,Ezreal,0.05810049251758237,142,Yuumi,0.028316690091815016,44,Jax,0.007655454913949518,72,Master Yi,0.016671090149709814,144,Zed,0.010999224187051846,15,Caitlyn,0.03607300128808285,76,Nami,0.02187492808975514,1,3,0.65,0.43,0.21,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
2,39,Illaoi,0.002288340743658534,62,Lee Sin,0.06931485725380143,24,Ekko,0.005335900712596242,27,Ezreal,0.05810049251758237,142,Yuumi,0.028316690091815016,44,Jax,0.007655454913949518,72,Master Yi,0.016671090149709814,144,Zed,0.010999224187051846,15,Caitlyn,0.03607300128808285,76,Nami,0.02187492808975514,1,3,0.65,0.43,0.21,0.16,0.43,0.69,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
3,106,Sion,0.0016071259857641208,62,Lee Sin,0.06931485725380143,144,Zed,0.010999224187051846,7,Aphelios,0.01662764353814789,142,Yuumi,0.028316690091815016,33,Garen,0.019608493880910526,25,Elise,0.019472053339195255,40,Irelia,0.0027179675580824487,49,Kalista,0.004300136427825036,42,Janna,0.011857549168425857,1,4,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
4,106,Sion,0.0016071259857641208,62,Lee Sin,0.06931485725380143,144,Zed,0.010999224187051846,7,Aphelios,0.01662764353814789,142,Yuumi,0.028316690091815016,33,Garen,0.019608493880910526,25,Elise,0.019472053339195255,40,Irelia,0.0027179675580824487,49,Kalista,0.004300136427825036,42,Janna,0.011857549168425857,1,4,0.53,0.27,0.05,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
5,106,Sion,0.0016071259857641208,62,Lee Sin,0.06931485725380143,144,Zed,0.010999224187051846,7,Aphelios,0.01662764353814789,142,Yuumi,0.028316690091815016,33,Garen,0.019608493880910526,25,Elise,0.019472053339195255,40,Irelia,0.0027179675580824487,49,Kalista,0.004300136427825036,42,Janna,0.011857549168425857,1,4,0.53,0.27,0.05,0.02,0.68,0.86,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
6,94,Renekton,0.007344118295492123,57,Kha'Zix,0.013057112879471531,61,LeBlanc,0.008503413870595554,47,Jinx,0.012734010883548641,42,Janna,0.011857549168425857,29,Fiora,0.0081470094558141,43,Jarvan IV,0.019745206217341695,112,Sylas,0.009561148921175204,128,Vayne,0.022346071560992952,66,Lulu,0.016540847583652266,4,4,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
7,94,Renekton,0.007344118295492123,57,Kha'Zix,0.013057112879471531,61,LeBlanc,0.008503413870595554,47,Jinx,0.012734010883548641,42,Janna,0.011857549168425857,29,Fiora,0.0081470094558141,43,Jarvan IV,0.019745206217341695,112,Sylas,0.009561148921175204,128,Vayne,0.022346071560992952,66,Lulu,0.016540847583652266,4,4,0.14,0.32,0.56,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
8,94,Renekton,0.007344118295492123,57,Kha'Zix,0.013057112879471531,61,LeBlanc,0.008503413870595554,47,Jinx,0.012734010883548641,42,Janna,0.011857549168425857,29,Fiora,0.0081470094558141,43,Jarvan IV,0.019745206217341695,112,Sylas,0.009561148921175204,128,Vayne,0.022346071560992952,66,Lulu,0.016540847583652266,4,4,0.14,0.32,0.56,0.93,0.89,0.87,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
9,29,Fiora,0.0081470094558141,131,Vi,0.005398781343082057,24,Ekko,0.005335900712596242,73,Miss Fortune,0.037818808970132685,75,Morgana,0.015169986838869621,77,Nasus,0.004153309610136628,93,Rek'Sai,0.00967257124126577,67,Lux,0.005367314717896645,15,Caitlyn,0.03607300128808285,14,Braum,0.006399661558270166,1,1,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
